id;data_postagem;quantidade;tipo_carga;localizacao_origem;localizacao_destino;data_coleta;data_entrega;data_modificacao;data_fechamento;status;tipo_oferta;tipo_transporte;destino;origem;perfil_id
1;2022-08-29T05:32:34;77710;CARRO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T01:30:51;2022-08-28T20:23:33;2022-08-28T23:26:42;AGUARDANDO_PROPOSTA;CARGA;CEGONHA;Mônaco Rústico Networked;Cambridgeshire paradigm JSON;1
2;2022-08-29T12:54:08;77870;MOTO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T08:56:35;2022-08-29T16:09:40;2022-08-29T10:44:48;AGUARDANDO_PROPOSTA;CARGA;GUINCHO;San;Director projection;2
3;2022-08-29T02:49:00;95201;CARRO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T03:04:59;2022-08-29T04:29:17;2022-08-28T21:18:18;ATENDIDA_INFOCARGAS;VAGAS;CEGONHA;help-desk;Optimization;1
4;2022-08-29T17:04:29;74009;CAMINHAO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T09:32:49;2022-08-29T00:20:12;2022-08-29T15:16:08;ATENDIDA_INFOCARGAS;CARGA;RAMPA;withdrawal Borders;holistic;2
5;2022-08-29T15:18:18;49939;MOTO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T14:41:09;2022-08-29T05:28:10;2022-08-29T14:21:17;AGUARDANDO_PROPOSTA;VAGAS;CEGONHA;Avon alarm;leading Granito Aço;2
6;2022-08-29T06:55:58;62072;CAMINHAO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T15:48:57;2022-08-29T05:32:12;2022-08-29T10:09:14;AGUARDANDO_PROPOSTA;CARGA;CEGONHA;copying;Associate;1
7;2022-08-29T07:21:47;88931;MOTO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T14:06:39;2022-08-29T13:45:08;2022-08-29T03:55:31;CANELADA;CARGA;GUINCHO;User backing;access;1
8;2022-08-28T21:11:43;15373;MOTO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-28;2022-08-28T21:14:47;2022-08-29T07:07:43;2022-08-28T22:13:52;CANELADA;CARGA;CEGONHA;pixel indexing Market;relationships;1
9;2022-08-29T18:21:14;85422;CAMINHAO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-29T00:44:35;2022-08-29T00:49:35;2022-08-29T14:08:58;AGUARDANDO_PROPOSTA;VAGAS;GUINCHO;Pizza;Liaison Computadores;1
10;2022-08-29T11:31:54;75796;CAMINHAO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2022-08-29;2022-08-28T19:04:36;2022-08-29T10:49:03;2022-08-28T20:49:06;ATENDIDA;CARGA;GUINCHO;Rústico Cambridgeshire;Ruble Lindo Plástico;2
