id;data_proposta;data_modificacao;aceitar;status;obs;valor_frete;ofertas_id;perfil_id
1;2022-09-09T12:34:14;2022-09-08T22:00:59;NAO;RECUSADO;Implementation bus copying;6296;1;1
2;2022-09-09T13:30:38;2022-09-09T03:01:43;NAO;RECUSADO;Rodovia deploy;52235;2;2
3;2022-09-08T22:14:02;2022-09-09T15:21:48;NAO;RECUSADO;à Paraná Operations;88511;3;1
4;2022-09-09T07:50:58;2022-09-09T00:14:37;NAO;CANCELOU;Lustroso payment;3338;4;2
5;2022-09-09T08:53:22;2022-09-09T03:33:21;SIM;AGUARDANDO;Crianças bandwidth Computadores;36769;5;1
6;2022-09-09T07:19:11;2022-09-09T11:39:12;NAO;RECUSADO;esmeralda;71584;6;1
7;2022-09-09T04:46:49;2022-09-08T20:56:45;NAO;CANCELOU;Officer Rondônia;21974;7;1
8;2022-09-09T09:10:25;2022-09-09T12:19:54;SIM;RECUSADO;Congelado;71913;8;1
9;2022-09-09T02:53:49;2022-09-09T17:15:11;SIM;AGUARDANDORESPOSTA;Sergipe limão;18098;9;1
10;2022-09-09T05:08:50;2022-09-09T03:18:58;SIM;AGUARDANDORESPOSTA;open-source Bacon Francesa;61688;10;2
