id;tipo;waid_to;perfil_id;status;oferta_id;tipo_oferta;notification_date;created_date
1;LIST_MATCH_REPROVED;Espanha Congelado;8654;OPEN;12334;VAGAS;2022-11-02T18:10:24;2022-11-02T03:41:50
2;LIST_ALERT_CHOOSED;Bartolomeu PCI optimal;77873;CANCELED;88039;CARGA;2022-11-02T01:51:57;2022-11-02T05:34:06
3;LIST_ALERT_CHOOSED;Bermuda;19927;OPEN;1379;CARGA;2022-11-02T20:17:15;2022-11-02T20:52:23
4;LIST_MATCH_APPROVED;Security;12753;OPEN;8437;VAGAS;2022-11-02T17:21:11;2022-11-02T03:55:47
5;CANCELED_TRAVEL;Casa calculate;2172;OPEN;563;CARGA;2022-11-02T08:40:08;2022-11-02T18:01:03
6;LIST_ALERT;application Salsicha;35045;OPEN;48195;CARGA;2022-11-02T05:02:57;2022-11-02T06:02:28
7;LIST_ALERT;Applications Computador;95318;CANCELED;33124;CARGA;2022-11-02T18:24:49;2022-11-02T08:15:35
8;INDICATION_ALERT;Rua CFA;4323;CANCELED;8730;CARGA;2022-11-02T12:50:57;2022-11-02T02:16:34
9;INDICATION_ALERT;synthesize bypass Horizontal;59020;CLOSED;25509;CARGA;2022-11-02T12:57:16;2022-11-02T07:45:01
10;LIST_MATCH_APPROVED;digital;24448;OPEN;4574;CARGA;2022-11-02T12:01:27;2022-11-02T10:58:16
